1216
a big cheese	(slang) เป็นสำนวนแปลว่า คนที่สำคัญมาก
grok	(vt jargon) ดื่มด่ำ, เข้าใจอย่างทะลุปรุโปร่ง [เริ่มใช้โดย Robert A. Heinlein ในนิยายเรื่อง Stranger in a Strange Land.]
gross income	(n) รายได้รวม (รายได้ก่อนหักภาษี ค่าธรรมเนียม รวมทั้ง อากรอื่นๆ), Related: A. net income, 
ground	(vt) กริยารูปอดีตของ grind แปลว่า บด ลับ(มีด)เช่น Mix together ground ham and ground pork with other ingredients.
guarantor	(n) ผู้ค้ำประกัน
gurney	(n) เตียงเคลื่อนที่ (ใช้สำหรับเคลื่อนย้ายคนไข้), Related: S.knock-down patient bed 
haccp	(abbrev) การวิเคราะห์อันตรายและจุดวิกฤติที่ต้องควบคุม, มาตรฐานการผลิต ที่มีมาตรการป้องกันอันตรายที่ผู้บริโภคอาจได้รับจากการบริโภคอาหาร ย่อจาก hazard analysis critical control point
hairy basil	(n) แมงลัก
halakhah	(n) เป็นส่วนหนึ่งของหนังสือ Midrash ซึ่งเป็นหนังสืออธิบายหนังสือเบญจบรรณ(คัมภีร์ห้าเล่มแรกของชาวยิว) ซึ่งประกอบด้วยสองส่วนคือ Halakhah ซึ่งเป็นหนังสืออธิบายหนังสือเบญจบรรณที่เกี่ยวกับธรรมบัญญัติ และ Aggadah ซึ่งเป็นหนังสืออธิบายหนังสือเบญจบรรณในส่วนที่ไม่เกี่ยวกับธรรมบัญญัติ, Related: S. exegesis, R. Midrash, Aggadah 
Half Duplex	(n) กึ่งสองทิศทาง หมายถึง การสื่อสารระหว่างสองจุด โดยที่ข้อมูลเดินทางไปมาได้ทั้งสองทิศทาง แต่ไม่สวนกัน (ผลัดกันรับส่ง), Related: Related: Full Duplex 
halter top	(n) เสื้อคล้องคอ เช่น This backless halter top features back ribbing and straps that tie at the neck for the best fit. 
hand in	(vt) ส่ง(รายงาน หรือการบ้าน) เช่น Reports will normally be handed in on or before the due date, to the course instructor.
Hansen's disease	(n) โรคเรื้อน 
haptic	(adj) เกี่ยวกับการสัมผัส ระบบสัมผัส 
harassment	(n) การข่มขู่, การทำให้ตื่นตระหนก เช่น Sexual harassment can present serious problems for a business owner. In addition to creating tension in the workplace and potential friction between employees, it can significantly cost you if an employee decides you haven't done enough to prevent it. 
harbor patrol	(n) หน่วยลาดตระเวนท่าเรือ
hardy plant	(n) พืชที่ทนต่อความหนาวเย็นของน้ำค้างในฤดูหนาวได้
harness	(vi vt) ใช้ประโยชน์จาก, ใช้พลังจาก
hatchling	(n) ตัวอ่อนที่พึ่งฟักออกจากไข่ เช่น นก, สัตว์ครึ่งบกครึ่งน้ำ, ปลา และสัตว์เลื้อยคลาน, ลูกเจี๊ยบ
have a crush on so.	หลงรักหรือคลั่งใครคนใดคนหนึ่ง เช่น I had a crush on you in high school.
have a go (at)	พยายาม, พยายามทำสิ่งใดสิ่งหนึ่ง เช่น You have a go at designing a synthesis of it.
have a go at someone	(phrase) วิจารณ์ใครบางคน หรือบ่นเกี่ยวกับบางสิ่งบางอย่าง 
have it coming	(phrase) สมควรแล้ว, สมแล้ว (ที่จะได้รับสิ่งนั้น หรือ ที่จะเป็นเช่นนั้น ซึ่งอาจจะเป็นสิ่งที่ดี หรือ เลว ก็ได้) เช่น It's too bad he got fired, but he sure had it coming.
have one's feet on the ground	ยืนบนลำแข้งของตนเอง เช่น Don't worry about him. He has his feet on the ground.
heart	(n) หัวใจ
heatstroke	(n) ลมแดด
heave	(vt slang) มีอาการขย้อนเกือบอาเจียน เช่น If a person is laying down when they begin to heave place them in the recovery position. , Related: R. vomit, 
